"book_name","department","study_level","read_count"
"All the President's Men","STATISTICS","UNDERGRAD",11
"Amulet of Samarkand, The","COMPUTER_SCIENCE","GRAD",24
"Amulet of Samarkand, The","COMPUTER_SCIENCE","UNDERGRAD",20
"Amulet of Samarkand, The","DANCE","GRAD",20
"Amulet of Samarkand, The","DANCE","UNDERGRAD",28
"Amulet of Samarkand, The","ECONOMICS","GRAD",23
"Amulet of Samarkand, The","ECONOMICS","UNDERGRAD",20
"Amulet of Samarkand, The","ENGLISH","GRAD",14
"Amulet of Samarkand, The","ENGLISH","UNDERGRAD",17
"Amulet of Samarkand, The","MATHEMATICS","GRAD",19
"Amulet of Samarkand, The","MATHEMATICS","UNDERGRAD",24
"Amulet of Samarkand, The","POLITICAL_SCIENCE","GRAD",15
"Amulet of Samarkand, The","POLITICAL_SCIENCE","UNDERGRAD",17
"Amulet of Samarkand, The","PSYCHOLOGY","GRAD",16
"Amulet of Samarkand, The","PSYCHOLOGY","UNDERGRAD",27
"Amulet of Samarkand, The","STATISTICS","GRAD",25
"Amulet of Samarkand, The","STATISTICS","UNDERGRAD",12
"Analysis, Vol I","COMPUTER_SCIENCE","GRAD",26
"Analysis, Vol I","COMPUTER_SCIENCE","UNDERGRAD",24
"Analysis, Vol I","DANCE","GRAD",19
"Analysis, Vol I","DANCE","UNDERGRAD",19
"Analysis, Vol I","ECONOMICS","GRAD",28
"Analysis, Vol I","ECONOMICS","UNDERGRAD",19
"Analysis, Vol I","ENGLISH","GRAD",14
"Analysis, Vol I","ENGLISH","UNDERGRAD",9
"Analysis, Vol I","MATHEMATICS","GRAD",20
"Analysis, Vol I","MATHEMATICS","UNDERGRAD",10
"Analysis, Vol I","POLITICAL_SCIENCE","GRAD",25
"Analysis, Vol I","POLITICAL_SCIENCE","UNDERGRAD",23
"Analysis, Vol I","PSYCHOLOGY","GRAD",21
"Analysis, Vol I","PSYCHOLOGY","UNDERGRAD",14
"Analysis, Vol I","STATISTICS","GRAD",32
"Analysis, Vol I","STATISTICS","UNDERGRAD",11
"Angels & Demons","COMPUTER_SCIENCE","GRAD",54
"Angels & Demons","COMPUTER_SCIENCE","UNDERGRAD",44
"Angels & Demons","DANCE","GRAD",32
"Angels & Demons","DANCE","UNDERGRAD",48
"Angels & Demons","ECONOMICS","GRAD",40
"Angels & Demons","ECONOMICS","UNDERGRAD",36
"Angels & Demons","ENGLISH","GRAD",40
"Angels & Demons","ENGLISH","UNDERGRAD",31
"Angels & Demons","MATHEMATICS","GRAD",34
"Angels & Demons","MATHEMATICS","UNDERGRAD",43
"Angels & Demons","POLITICAL_SCIENCE","GRAD",45
"Angels & Demons","POLITICAL_SCIENCE","UNDERGRAD",50
"Angels & Demons","PSYCHOLOGY","GRAD",39
"Angels & Demons","PSYCHOLOGY","UNDERGRAD",32
"Angels & Demons","STATISTICS","GRAD",49
"Angels & Demons","STATISTICS","UNDERGRAD",36
"Animal Farm","COMPUTER_SCIENCE","GRAD",29
"Animal Farm","COMPUTER_SCIENCE","UNDERGRAD",18
"Animal Farm","DANCE","GRAD",16
"Animal Farm","DANCE","UNDERGRAD",20
"Animal Farm","ECONOMICS","GRAD",19
"Animal Farm","ECONOMICS","UNDERGRAD",30
"Animal Farm","ENGLISH","GRAD",20
"Animal Farm","ENGLISH","UNDERGRAD",18
"Animal Farm","MATHEMATICS","GRAD",12
"Animal Farm","MATHEMATICS","UNDERGRAD",23
"Animal Farm","POLITICAL_SCIENCE","GRAD",21
"Animal Farm","POLITICAL_SCIENCE","UNDERGRAD",29
"Animal Farm","PSYCHOLOGY","GRAD",21
"Animal Farm","PSYCHOLOGY","UNDERGRAD",19
"Animal Farm","STATISTICS","GRAD",25
"Animal Farm","STATISTICS","UNDERGRAD",22
"Apulki","COMPUTER_SCIENCE","GRAD",24
"Apulki","COMPUTER_SCIENCE","UNDERGRAD",14
"Apulki","DANCE","GRAD",13
"Apulki","DANCE","UNDERGRAD",26
"Apulki","ECONOMICS","GRAD",26
"Apulki","ECONOMICS","UNDERGRAD",19
"Apulki","ENGLISH","GRAD",26
"Apulki","ENGLISH","UNDERGRAD",15
"Apulki","MATHEMATICS","GRAD",15
"Apulki","MATHEMATICS","UNDERGRAD",25
"Apulki","POLITICAL_SCIENCE","GRAD",21
"Apulki","POLITICAL_SCIENCE","UNDERGRAD",22
"Apulki","PSYCHOLOGY","GRAD",16
"Apulki","PSYCHOLOGY","UNDERGRAD",21
"Apulki","STATISTICS","GRAD",22
"Apulki","STATISTICS","UNDERGRAD",20
"Argumentative Indian, The","COMPUTER_SCIENCE","GRAD",31
"Argumentative Indian, The","COMPUTER_SCIENCE","UNDERGRAD",16
"Argumentative Indian, The","DANCE","GRAD",16
"Argumentative Indian, The","DANCE","UNDERGRAD",15
"Argumentative Indian, The","ECONOMICS","GRAD",23
"Argumentative Indian, The","ECONOMICS","UNDERGRAD",20
"Argumentative Indian, The","ENGLISH","GRAD",13
"Argumentative Indian, The","ENGLISH","UNDERGRAD",19
"Argumentative Indian, The","MATHEMATICS","GRAD",21
"Argumentative Indian, The","MATHEMATICS","UNDERGRAD",22
"Argumentative Indian, The","POLITICAL_SCIENCE","GRAD",22
"Argumentative Indian, The","POLITICAL_SCIENCE","UNDERGRAD",19
"Argumentative Indian, The","PSYCHOLOGY","GRAD",15
"Argumentative Indian, The","PSYCHOLOGY","UNDERGRAD",26
"Argumentative Indian, The","STATISTICS","GRAD",21
"Argumentative Indian, The","STATISTICS","UNDERGRAD",19
"Arthashastra, The","COMPUTER_SCIENCE","GRAD",21
"Arthashastra, The","COMPUTER_SCIENCE","UNDERGRAD",17
"Arthashastra, The","DANCE","GRAD",19
"Arthashastra, The","DANCE","UNDERGRAD",12
"Arthashastra, The","ECONOMICS","GRAD",26
"Arthashastra, The","ECONOMICS","UNDERGRAD",20
"Arthashastra, The","ENGLISH","GRAD",28
"Arthashastra, The","ENGLISH","UNDERGRAD",20
"Arthashastra, The","MATHEMATICS","GRAD",13
"Arthashastra, The","MATHEMATICS","UNDERGRAD",18
"Arthashastra, The","POLITICAL_SCIENCE","GRAD",22
"Arthashastra, The","POLITICAL_SCIENCE","UNDERGRAD",31
"Arthashastra, The","PSYCHOLOGY","GRAD",23
"Arthashastra, The","PSYCHOLOGY","UNDERGRAD",20
"Arthashastra, The","STATISTICS","GRAD",15
"Arthashastra, The","STATISTICS","UNDERGRAD",18
"Artist and the Mathematician, The","COMPUTER_SCIENCE","GRAD",27
"Artist and the Mathematician, The","COMPUTER_SCIENCE","UNDERGRAD",26
"Artist and the Mathematician, The","DANCE","GRAD",16
"Artist and the Mathematician, The","DANCE","UNDERGRAD",16
"Artist and the Mathematician, The","ECONOMICS","GRAD",26
"Artist and the Mathematician, The","ECONOMICS","UNDERGRAD",17
"Artist and the Mathematician, The","ENGLISH","GRAD",14
"Artist and the Mathematician, The","ENGLISH","UNDERGRAD",18
"Artist and the Mathematician, The","MATHEMATICS","GRAD",18
"Artist and the Mathematician, The","MATHEMATICS","UNDERGRAD",26
"Artist and the Mathematician, The","POLITICAL_SCIENCE","GRAD",25
"Artist and the Mathematician, The","POLITICAL_SCIENCE","UNDERGRAD",26
"Artist and the Mathematician, The","PSYCHOLOGY","GRAD",23
"Artist and the Mathematician, The","PSYCHOLOGY","UNDERGRAD",18
"Artist and the Mathematician, The","STATISTICS","GRAD",27
"Artist and the Mathematician, The","STATISTICS","UNDERGRAD",19
"Asami Asami","COMPUTER_SCIENCE","GRAD",29
"Asami Asami","COMPUTER_SCIENCE","UNDERGRAD",20
"Asami Asami","DANCE","GRAD",18
"Asami Asami","DANCE","UNDERGRAD",19
"Asami Asami","ECONOMICS","GRAD",17
"Asami Asami","ECONOMICS","UNDERGRAD",25
"Asami Asami","ENGLISH","GRAD",21
"Asami Asami","ENGLISH","UNDERGRAD",22
"Asami Asami","MATHEMATICS","GRAD",21
"Asami Asami","MATHEMATICS","UNDERGRAD",23
"Asami Asami","POLITICAL_SCIENCE","GRAD",21
"Asami Asami","POLITICAL_SCIENCE","UNDERGRAD",24
"Asami Asami","PSYCHOLOGY","GRAD",21
"Asami Asami","PSYCHOLOGY","UNDERGRAD",15
"Asami Asami","STATISTICS","GRAD",21
"Asami Asami","STATISTICS","UNDERGRAD",23
"Ashenden of The British Agent","COMPUTER_SCIENCE","GRAD",23
"Ashenden of The British Agent","COMPUTER_SCIENCE","UNDERGRAD",18
"Ashenden of The British Agent","DANCE","GRAD",12
"Ashenden of The British Agent","DANCE","UNDERGRAD",17
"Ashenden of The British Agent","ECONOMICS","GRAD",20
"Ashenden of The British Agent","ECONOMICS","UNDERGRAD",23
"Ashenden of The British Agent","ENGLISH","GRAD",21
"Ashenden of The British Agent","ENGLISH","UNDERGRAD",24
"Ashenden of The British Agent","MATHEMATICS","GRAD",15
"Ashenden of The British Agent","MATHEMATICS","UNDERGRAD",15
"Ashenden of The British Agent","POLITICAL_SCIENCE","GRAD",17
"Ashenden of The British Agent","POLITICAL_SCIENCE","UNDERGRAD",17
"Ashenden of The British Agent","PSYCHOLOGY","GRAD",20
"Ashenden of The British Agent","PSYCHOLOGY","UNDERGRAD",20
"Ashenden of The British Agent","STATISTICS","GRAD",28
"Ashenden of The British Agent","STATISTICS","UNDERGRAD",15
"Attorney, The","COMPUTER_SCIENCE","GRAD",31
"Attorney, The","COMPUTER_SCIENCE","UNDERGRAD",22
"Attorney, The","DANCE","GRAD",13
"Attorney, The","DANCE","UNDERGRAD",21
"Attorney, The","ECONOMICS","GRAD",22
"Attorney, The","ECONOMICS","UNDERGRAD",25
"Attorney, The","ENGLISH","GRAD",17
"Attorney, The","ENGLISH","UNDERGRAD",24
"Attorney, The","MATHEMATICS","GRAD",15
"Attorney, The","MATHEMATICS","UNDERGRAD",18
"Attorney, The","POLITICAL_SCIENCE","GRAD",29
"Attorney, The","POLITICAL_SCIENCE","UNDERGRAD",23
"Attorney, The","PSYCHOLOGY","GRAD",32
"Attorney, The","PSYCHOLOGY","UNDERGRAD",24
"Attorney, The","STATISTICS","GRAD",16
"Attorney, The","STATISTICS","UNDERGRAD",17
"Ayn Rand Answers","COMPUTER_SCIENCE","GRAD",21
"Ayn Rand Answers","COMPUTER_SCIENCE","UNDERGRAD",19
"Ayn Rand Answers","DANCE","GRAD",19
"Ayn Rand Answers","DANCE","UNDERGRAD",27
"Ayn Rand Answers","ECONOMICS","GRAD",21
"Ayn Rand Answers","ECONOMICS","UNDERGRAD",22
"Ayn Rand Answers","ENGLISH","GRAD",17
"Ayn Rand Answers","ENGLISH","UNDERGRAD",16
"Ayn Rand Answers","MATHEMATICS","GRAD",13
"Ayn Rand Answers","MATHEMATICS","UNDERGRAD",20
"Ayn Rand Answers","POLITICAL_SCIENCE","GRAD",29
"Ayn Rand Answers","POLITICAL_SCIENCE","UNDERGRAD",32
"Ayn Rand Answers","PSYCHOLOGY","GRAD",22
"Ayn Rand Answers","PSYCHOLOGY","UNDERGRAD",20
"Ayn Rand Answers","STATISTICS","GRAD",26
"Ayn Rand Answers","STATISTICS","UNDERGRAD",20
"Batatyachi Chal","COMPUTER_SCIENCE","GRAD",28
"Batatyachi Chal","COMPUTER_SCIENCE","UNDERGRAD",20
"Batatyachi Chal","DANCE","GRAD",13
"Batatyachi Chal","DANCE","UNDERGRAD",24
"Batatyachi Chal","ECONOMICS","GRAD",11
"Batatyachi Chal","ECONOMICS","UNDERGRAD",26
"Batatyachi Chal","ENGLISH","GRAD",16
"Batatyachi Chal","ENGLISH","UNDERGRAD",13
"Batatyachi Chal","MATHEMATICS","GRAD",18
"Batatyachi Chal","MATHEMATICS","UNDERGRAD",25
"Batatyachi Chal","POLITICAL_SCIENCE","GRAD",22
"Batatyachi Chal","POLITICAL_SCIENCE","UNDERGRAD",23
"Batatyachi Chal","PSYCHOLOGY","GRAD",16
"Batatyachi Chal","PSYCHOLOGY","UNDERGRAD",16
"Batatyachi Chal","STATISTICS","GRAD",28
"Batatyachi Chal","STATISTICS","UNDERGRAD",15
"Batman Earth One","COMPUTER_SCIENCE","GRAD",26
"Batman Earth One","COMPUTER_SCIENCE","UNDERGRAD",16
"Batman Earth One","DANCE","GRAD",17
"Batman Earth One","DANCE","UNDERGRAD",16
"Batman Earth One","ECONOMICS","GRAD",27
"Batman Earth One","ECONOMICS","UNDERGRAD",19
"Batman Earth One","ENGLISH","GRAD",22
"Batman Earth One","ENGLISH","UNDERGRAD",20
"Batman Earth One","MATHEMATICS","GRAD",16
"Batman Earth One","MATHEMATICS","UNDERGRAD",26
"Batman Earth One","POLITICAL_SCIENCE","GRAD",29
"Batman Earth One","POLITICAL_SCIENCE","UNDERGRAD",18
"Batman Earth One","PSYCHOLOGY","GRAD",23
"Batman Earth One","PSYCHOLOGY","UNDERGRAD",20
"Batman Earth One","STATISTICS","GRAD",27
"Batman Earth One","STATISTICS","UNDERGRAD",13
"Batman Handbook","COMPUTER_SCIENCE","GRAD",29
"Batman Handbook","COMPUTER_SCIENCE","UNDERGRAD",17
"Batman Handbook","DANCE","GRAD",17
"Batman Handbook","DANCE","UNDERGRAD",27
"Batman Handbook","ECONOMICS","GRAD",27
"Batman Handbook","ECONOMICS","UNDERGRAD",23
"Batman Handbook","ENGLISH","GRAD",21
"Batman Handbook","ENGLISH","UNDERGRAD",23
"Batman Handbook","MATHEMATICS","GRAD",21
"Batman Handbook","MATHEMATICS","UNDERGRAD",21
"Batman Handbook","POLITICAL_SCIENCE","GRAD",24
"Batman Handbook","POLITICAL_SCIENCE","UNDERGRAD",15
"Batman Handbook","PSYCHOLOGY","GRAD",18
"Batman Handbook","PSYCHOLOGY","UNDERGRAD",22
"Batman Handbook","STATISTICS","GRAD",27
"Batman Handbook","STATISTICS","UNDERGRAD",14
"Batman: The Long Halloween","COMPUTER_SCIENCE","GRAD",27
"Batman: The Long Halloween","COMPUTER_SCIENCE","UNDERGRAD",16
"Batman: The Long Halloween","DANCE","GRAD",22
"Batman: The Long Halloween","DANCE","UNDERGRAD",19
"Batman: The Long Halloween","ECONOMICS","GRAD",18
"Batman: The Long Halloween","ECONOMICS","UNDERGRAD",26
"Batman: The Long Halloween","ENGLISH","GRAD",28
"Batman: The Long Halloween","ENGLISH","UNDERGRAD",16
"Batman: The Long Halloween","MATHEMATICS","GRAD",17
"Batman: The Long Halloween","MATHEMATICS","UNDERGRAD",21
"Batman: The Long Halloween","POLITICAL_SCIENCE","GRAD",20
"Batman: The Long Halloween","POLITICAL_SCIENCE","UNDERGRAD",26
"Batman: The Long Halloween","PSYCHOLOGY","GRAD",23
"Batman: The Long Halloween","PSYCHOLOGY","UNDERGRAD",20
"Batman: The Long Halloween","STATISTICS","GRAD",20
"Batman: The Long Halloween","STATISTICS","UNDERGRAD",16
"Beautiful and the Damned, The","COMPUTER_SCIENCE","GRAD",19
"Beautiful and the Damned, The","COMPUTER_SCIENCE","UNDERGRAD",17
"Beautiful and the Damned, The","DANCE","GRAD",11
"Beautiful and the Damned, The","DANCE","UNDERGRAD",15
"Beautiful and the Damned, The","ECONOMICS","GRAD",22
"Beautiful and the Damned, The","ECONOMICS","UNDERGRAD",25
"Beautiful and the Damned, The","ENGLISH","GRAD",20
"Beautiful and the Damned, The","ENGLISH","UNDERGRAD",15
"Beautiful and the Damned, The","MATHEMATICS","GRAD",23
"Beautiful and the Damned, The","MATHEMATICS","UNDERGRAD",20
"Beautiful and the Damned, The","POLITICAL_SCIENCE","GRAD",14
"Beautiful and the Damned, The","POLITICAL_SCIENCE","UNDERGRAD",27
"Beautiful and the Damned, The","PSYCHOLOGY","GRAD",22
"Beautiful and the Damned, The","PSYCHOLOGY","UNDERGRAD",30
"Beautiful and the Damned, The","STATISTICS","GRAD",27
"Beautiful and the Damned, The","STATISTICS","UNDERGRAD",16
"Beyond Degrees","COMPUTER_SCIENCE","GRAD",31
"Beyond Degrees","COMPUTER_SCIENCE","UNDERGRAD",23
"Beyond Degrees","DANCE","GRAD",8
"Beyond Degrees","DANCE","UNDERGRAD",20
"Beyond Degrees","ECONOMICS","GRAD",23
"Beyond Degrees","ECONOMICS","UNDERGRAD",13
"Beyond Degrees","ENGLISH","GRAD",19
"Beyond Degrees","ENGLISH","UNDERGRAD",20
"Beyond Degrees","MATHEMATICS","GRAD",14
"Beyond Degrees","MATHEMATICS","UNDERGRAD",23
"Beyond Degrees","POLITICAL_SCIENCE","GRAD",24
"Beyond Degrees","POLITICAL_SCIENCE","UNDERGRAD",22
"Beyond Degrees","PSYCHOLOGY","GRAD",19
"Beyond Degrees","PSYCHOLOGY","UNDERGRAD",21
"Beyond Degrees","STATISTICS","GRAD",19
"Beyond Degrees","STATISTICS","UNDERGRAD",15
"Beyond the Three Seas","COMPUTER_SCIENCE","GRAD",23
"Beyond the Three Seas","COMPUTER_SCIENCE","UNDERGRAD",22
"Beyond the Three Seas","DANCE","GRAD",17
"Beyond the Three Seas","DANCE","UNDERGRAD",24
"Beyond the Three Seas","ECONOMICS","GRAD",22
"Beyond the Three Seas","ECONOMICS","UNDERGRAD",22
"Beyond the Three Seas","ENGLISH","GRAD",26
"Beyond the Three Seas","ENGLISH","UNDERGRAD",10
"Beyond the Three Seas","MATHEMATICS","GRAD",16
"Beyond the Three Seas","MATHEMATICS","UNDERGRAD",26
"Beyond the Three Seas","POLITICAL_SCIENCE","GRAD",22
"Beyond the Three Seas","POLITICAL_SCIENCE","UNDERGRAD",28
"Beyond the Three Seas","PSYCHOLOGY","GRAD",19
"Beyond the Three Seas","PSYCHOLOGY","UNDERGRAD",18
"Beyond the Three Seas","STATISTICS","GRAD",35
"Beyond the Three Seas","STATISTICS","UNDERGRAD",18
"Birth of a Theorem","COMPUTER_SCIENCE","GRAD",31
"Birth of a Theorem","COMPUTER_SCIENCE","UNDERGRAD",14
"Birth of a Theorem","DANCE","GRAD",13
"Birth of a Theorem","DANCE","UNDERGRAD",18
"Birth of a Theorem","ECONOMICS","GRAD",18
"Birth of a Theorem","ECONOMICS","UNDERGRAD",20
"Birth of a Theorem","ENGLISH","GRAD",32
"Birth of a Theorem","ENGLISH","UNDERGRAD",17
"Birth of a Theorem","MATHEMATICS","GRAD",15
"Birth of a Theorem","MATHEMATICS","UNDERGRAD",17
"Birth of a Theorem","POLITICAL_SCIENCE","GRAD",19
"Birth of a Theorem","POLITICAL_SCIENCE","UNDERGRAD",13
"Birth of a Theorem","PSYCHOLOGY","GRAD",27
"Birth of a Theorem","PSYCHOLOGY","UNDERGRAD",21
"Birth of a Theorem","STATISTICS","GRAD",26
"Birth of a Theorem","STATISTICS","UNDERGRAD",23
"Bookless in Baghdad","COMPUTER_SCIENCE","GRAD",19
"Bookless in Baghdad","COMPUTER_SCIENCE","UNDERGRAD",22
"Bookless in Baghdad","DANCE","GRAD",21
"Bookless in Baghdad","DANCE","UNDERGRAD",24
"Bookless in Baghdad","ECONOMICS","GRAD",24
"Bookless in Baghdad","ECONOMICS","UNDERGRAD",21
"Bookless in Baghdad","ENGLISH","GRAD",22
"Bookless in Baghdad","ENGLISH","UNDERGRAD",18
"Bookless in Baghdad","MATHEMATICS","GRAD",15
"Bookless in Baghdad","MATHEMATICS","UNDERGRAD",16
"Bookless in Baghdad","POLITICAL_SCIENCE","GRAD",13
"Bookless in Baghdad","POLITICAL_SCIENCE","UNDERGRAD",18
"Bookless in Baghdad","PSYCHOLOGY","GRAD",18
"Bookless in Baghdad","PSYCHOLOGY","UNDERGRAD",18
"Bookless in Baghdad","STATISTICS","GRAD",33
"Bookless in Baghdad","STATISTICS","UNDERGRAD",14
"Brethren, The","COMPUTER_SCIENCE","GRAD",32
"Brethren, The","COMPUTER_SCIENCE","UNDERGRAD",21
"Brethren, The","DANCE","GRAD",21
"Brethren, The","DANCE","UNDERGRAD",17
"Brethren, The","ECONOMICS","GRAD",15
"Brethren, The","ECONOMICS","UNDERGRAD",23
"Brethren, The","ENGLISH","GRAD",28
"Brethren, The","ENGLISH","UNDERGRAD",19
"Brethren, The","MATHEMATICS","GRAD",16
"Brethren, The","MATHEMATICS","UNDERGRAD",24
"Brethren, The","POLITICAL_SCIENCE","GRAD",26
"Brethren, The","POLITICAL_SCIENCE","UNDERGRAD",22
"Brethren, The","PSYCHOLOGY","GRAD",18
"Brethren, The","PSYCHOLOGY","UNDERGRAD",15
"Brethren, The","STATISTICS","GRAD",19
"Brethren, The","STATISTICS","UNDERGRAD",21
"Broca's Brain","COMPUTER_SCIENCE","GRAD",25
"Broca's Brain","COMPUTER_SCIENCE","UNDERGRAD",18
"Broca's Brain","DANCE","GRAD",16
"Broca's Brain","DANCE","UNDERGRAD",24
"Broca's Brain","ECONOMICS","GRAD",23
"Broca's Brain","ECONOMICS","UNDERGRAD",18
"Broca's Brain","ENGLISH","GRAD",19
"Broca's Brain","ENGLISH","UNDERGRAD",12
"Broca's Brain","MATHEMATICS","GRAD",19
"Broca's Brain","MATHEMATICS","UNDERGRAD",25
"Broca's Brain","POLITICAL_SCIENCE","GRAD",30
"Broca's Brain","POLITICAL_SCIENCE","UNDERGRAD",23
"Broca's Brain","PSYCHOLOGY","GRAD",22
